Seq id,X,Y,Direction,Magnitude
gi|44624368|gb|EAK,4.95724717833,-1.94567955497,-21.4296070721,5.32540782642
gi|44228148|gb|EAH,-2.32595439044,15.2918959079,98.6486115104,15.4677776129
gi|53717414|ref|YP,-3.53726000862,-1.32418715951,-159.476415377,3.77699351363
gi|113869237|ref|Y,6.02746342059,-0.408103150116,-3.87342961611,6.04126339996
gi|91785304|ref|YP,1.72509545656,0.096119781742,3.18913901209,1.72777120785
gi|67548164|ref|ZP,3.79017736326,9.85742001846,68.9682515187,10.5609740964
gi|44308834|gb|EAI,4.16057613403,2.30081882966,28.9428071132,4.7543833516
gi|73538856|ref|YP,4.33840600851,-0.60297196077,-7.91254706026,4.38010751925
gi|44557984|gb|EAK,-1.50043232081,2.95126273365,116.948943337,3.31077768393
gi|17547810|ref|NP,3.19037308678,-0.509610929668,-9.07541386104,3.23081781171
gi|91781748|ref|YP,-2.46933462205,2.10171269172,139.59805963,3.2426547325
gi|84361450|ref|ZP,4.93225102135,2.36919592707,25.6571995557,5.47176292235
gi|91780928|ref|YP,-4.25839744648,4.89374584576,131.028856709,6.48711778952
gi|17546827|ref|NP,8.75251067769,-0.0296258261525,-0.193936161075,8.75256081685
gi|78061137|ref|YP,2.13473945677,0.868562979441,22.1399682882,2.30467225382
gi|53716763|ref|YP,2.17695117003,7.31558675763,73.428199564,7.63262248543
gi|44362234|gb|EAI,8.85505143354,14.660928414,58.8684514059,17.1276022213
gi|44418895|gb|EAJ,5.77151011632,3.9314908691,34.2622718322,6.98333369363
gi|83718517|ref|YP,-0.656386889321,6.31461543643,95.9344258904,6.34863858307
gi|67542729|ref|ZP,1.49081488527,6.98499471907,77.9520689198,7.14231616827
gi|44418714|gb|EAJ,2.99544057084,3.15672416806,46.5017077262,4.35173203296
gi|91778409|ref|YP,2.77588004951,7.9895725454,70.840837057,8.45806003215
gi|83720762|ref|YP,-4.1013582497,-0.232398544884,-176.756871421,4.10793726535
gi|67549845|ref|ZP,4.36664086827,6.24158903121,55.0232089084,7.61741334752
gi|44351320|gb|EAI,15.6633864421,5.15257040512,18.2089487384,16.489107211
gi|115361055|ref|Y,-0.028549641464,2.76675801308,90.5912030979,2.76690530828
gi|33598575|ref|NP,-0.285493249098,7.54527651805,92.1668866253,7.5506757399
